timestamp,datetime,date,price_usd,volume_usd,market_cap_usd,source,price_change_pct,volume_change_pct,proposal_id,dao,proposal_title,proposal_start,proposal_end,activist_score,detection_methods,days_from_proposal
1744243200000,2025-04-09 20:00:00,2025-04-09,0.17269557951413575,34386920.460630774,239378643.88008556,coingecko,12.130590178373502,63.01939103915555,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-54
1744329600000,2025-04-10 20:00:00,2025-04-10,0.16646954368918596,23619367.025577266,230818965.9988352,coingecko,-3.605208565538398,-31.312933204882853,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-53
1744416000000,2025-04-11 20:00:00,2025-04-11,0.17095482841478135,20989152.96613921,236821712.49912784,coingecko,2.694357554057958,-11.135836352387496,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-52
1744502400000,2025-04-12 20:00:00,2025-04-12,0.1782951062407881,13752346.92889289,247329467.32105032,coingecko,4.293694360124944,-34.4787903014529,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-51
1744588800000,2025-04-13 20:00:00,2025-04-13,0.17089569139416297,15444945.574901143,236579280.0507059,coingecko,-4.150094190825515,12.307707584457471,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-50
1744675200000,2025-04-14 20:00:00,2025-04-14,0.16969569042635826,18819363.924125936,234974620.63080525,coingecko,-0.7021832780072623,21.848042991542815,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-49
1744761600000,2025-04-15 20:00:00,2025-04-15,0.16502481474818428,18750625.32464136,228720231.16466096,coingecko,-2.7525010602440503,-0.36525463751967413,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-48
1744848000000,2025-04-16 20:00:00,2025-04-16,0.1641434114374624,21109976.42633151,227450734.28996018,coingecko,-0.534103499565719,12.582786231612108,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-47
1744934400000,2025-04-17 20:00:00,2025-04-17,0.1663323939283446,16127402.651253775,230346831.1773712,coingecko,1.3335792595709384,-23.602933866201415,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-46
1745020800000,2025-04-18 20:00:00,2025-04-18,0.17073624194563286,18085613.59340363,236569606.11740968,coingecko,2.647618971434662,12.142134629457036,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-45
1745107200000,2025-04-19 20:00:00,2025-04-19,0.1755340122335467,15091062.120263593,243199153.25464097,coingecko,2.8100479624247443,-16.557643774011844,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-44
1745193600000,2025-04-20 20:00:00,2025-04-20,0.17385937094440904,15409256.267040478,240878317.02655372,coingecko,-0.9540266685806542,2.108494049266607,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-43
1745280000000,2025-04-21 20:00:00,2025-04-21,0.17409242956089038,21895662.11877164,241085843.62298653,coingecko,0.13405007461799734,42.09421752304303,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-42
1745366400000,2025-04-22 20:00:00,2025-04-22,0.18487113010818207,26229094.16452829,256315035.00748867,coingecko,6.191366605933735,19.791281132537698,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-41
1745452800000,2025-04-23 20:00:00,2025-04-23,0.18964005549093862,24045402.91034798,262789625.9334488,coingecko,2.579594434223398,-8.325454323670446,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-40
1745539200000,2025-04-24 20:00:00,2025-04-24,0.19083611597096434,21220516.717166718,264428269.0519533,coingecko,0.63070034277799,-11.748134159837953,0xd0707ca9ba2094415d261cb40ccf06ed92bd4940ec5a83b3ab2239e38f05735f,1inch.eth,[1IP-78] Protocol Upgrades; Order Settlement in LOP; Incentives in Protocols,2025-06-02 10:47:31,2025-06-12 10:47:31,0.25,"['sentiment_analysis', 'structural_analysis']",-39
