timestamp,datetime,date,price_usd,volume_usd,high_usd,low_usd,open_usd,source,price_change_pct,volume_change_pct,proposal_id,dao,proposal_title,proposal_start,proposal_end,activist_score,detection_methods,days_from_proposal
1704240000000,2024-01-03,2024-01-03,1.1330360174179077,79027709.9555552,1.3208320140838623,1.085453987121582,1.2854399681091309,yahoo_finance,,,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-91
1704326400000,2024-01-04,2024-01-04,1.141677975654602,53744506.68743205,1.1728299856185913,1.1247210502624512,1.1331590414047241,yahoo_finance,0.7627258184067731,-31.992832997871634,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-90
1704412800000,2024-01-05,2024-01-05,1.0983999967575073,60576063.435578585,1.1539839506149292,1.0652899742126465,1.1416460275650024,yahoo_finance,-3.790734324386047,12.711172116394298,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-89
1704499200000,2024-01-06,2024-01-06,1.0684330463409424,40668808.76509547,1.0989580154418945,1.0340509414672852,1.0984710454940796,yahoo_finance,-2.728236571834286,-32.86323597381674,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-88
1704585600000,2024-01-07,2024-01-07,1.0201799869537354,32017675.571751595,1.0878410339355469,1.0163029432296753,1.0684560537338257,yahoo_finance,-4.516245501059613,-21.27215784291382,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-87
1704672000000,2024-01-08,2024-01-08,1.0984770059585571,50012494.794143796,1.1035929918289185,0.9538040161132812,1.0202239751815796,yahoo_finance,7.674824051255635,56.20276581935444,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-86
1704758400000,2024-01-09,2024-01-09,1.0799609422683716,46719127.64190483,1.1059620380401611,1.0223950147628784,1.0988919734954834,yahoo_finance,-1.6856123150277513,-6.585088717918952,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-85
1704844800000,2024-01-10,2024-01-10,1.1681909561157227,63981079.20158291,1.1927310228347778,1.0636659860610962,1.0798280239105225,yahoo_finance,8.169741181753377,36.94836019197185,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-84
1704931200000,2024-01-11,2024-01-11,1.173261046409607,63478259.96605408,1.2202810049057007,1.1496729850769043,1.1684659719467163,yahoo_finance,0.4340121165415045,-0.7858873932785837,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-83
1705017600000,2024-01-12,2024-01-12,1.1151020526885986,54366404.71760392,1.2104090452194214,1.0877389907836914,1.1729990243911743,yahoo_finance,-4.957037813450416,-14.354292718992067,0x21aa6c89fd5e4111e6046cfc12cc7280f2be13f8452e61a0025454678d1ff9d0,sushigov.eth,Evolving Sushi - Burū no Shinka [Signal],2024-04-02 22:23:47,2024-04-12 22:23:47,0.19,"['sentiment_analysis', 'structural_analysis']",-82
