timestamp,datetime,date,price_usd,volume_usd,high_usd,low_usd,open_usd,source,price_change_pct,volume_change_pct,proposal_id,dao,proposal_title,proposal_start,proposal_end,activist_score,detection_methods,days_from_proposal
1737590400000,2025-01-23,2025-01-23,0.00020900000527035445,0.0008360000210814178,0.00021399999968707561,0.00020399999630171806,0.00020799999765586108,yahoo_finance,,,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-91
1737676800000,2025-01-24,2025-01-24,0.00021100000594742596,0.0008440000237897038,0.00021499999274965376,0.00020700000459328294,0.00020900000527035445,yahoo_finance,0.9569380988696086,0.9569380988696086,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-90
1737763200000,2025-01-25,2025-01-25,0.0002099999983329326,0.0008399999933317304,0.0002119999990100041,0.00020900000527035445,0.00021100000594742596,yahoo_finance,-0.47393724469493304,-0.47393724469493304,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-89
1737849600000,2025-01-26,2025-01-26,0.00020599999697878957,0.0008239999879151583,0.0002119999990100041,0.00020599999697878957,0.0002099999983329326,yahoo_finance,-1.9047625647127142,-1.9047625647127142,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-88
1737936000000,2025-01-27,2025-01-27,0.00020500000391621143,0.0008200000156648457,0.00020700000459328294,0.00019700000120792538,0.00020599999697878957,yahoo_finance,-0.4854335326427761,-0.4854335326427761,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-87
1738022400000,2025-01-28,2025-01-28,0.00020300000323913991,0.0008120000129565597,0.00021300000662449747,0.0002010000025620684,0.00020500000391621143,yahoo_finance,-0.975610067738808,-0.975610067738808,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-86
1738108800000,2025-01-29,2025-01-29,0.00020900000527035445,0.0008360000210814178,0.00021100000594742596,0.00020300000323913991,0.00020300000323913991,yahoo_finance,2.955665978067179,2.955665978067179,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-85
1738195200000,2025-01-30,2025-01-30,0.00021100000594742596,0.0008440000237897038,0.00021300000662449747,0.00020799999765586108,0.00020900000527035445,yahoo_finance,0.9569380988696086,0.9569380988696086,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-84
1738281600000,2025-01-31,2025-01-31,0.00020599999697878957,0.0008239999879151583,0.00021300000662449747,0.00020399999630171806,0.00021100000594742596,yahoo_finance,-2.3696724301904615,-2.3696724301904615,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-83
1738368000000,2025-02-01,2025-02-01,0.00020199999562464654,0.0008079999824985862,0.00020700000459328294,0.00020199999562464654,0.00020599999697878957,yahoo_finance,-1.9417482586443269,-1.9417482586443269,0x629995d68efbfea149bbd4fdc35cfcacca9bd327e3cbf1382fd6753df583e890,uniswapgovernance.eth,UAC Renewal S4,2025-04-23 23:45:00,2025-05-03 23:45:00,0.15,"['pattern_matching_leadership_change', 'structural_analysis']",-82
