timestamp,datetime,date,price_usd,volume_usd,high_usd,low_usd,open_usd,source,price_change_pct,volume_change_pct,proposal_id,dao,proposal_title,proposal_start,proposal_end,activist_score,detection_methods,days_from_proposal
1650153600000,2022-04-17,2022-04-17,2.2149438858032227,269459439.2012243,2.342108964920044,2.2120370864868164,2.238002061843872,yahoo_finance,-1.0339286294482775,53.114808636808334,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",85
1650240000000,2022-04-18,2022-04-18,2.1862130165100098,365757707.3361459,2.21124005317688,2.064613103866577,2.21124005317688,yahoo_finance,-1.2971375698212828,35.737574612485126,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",86
1650326400000,2022-04-19,2022-04-19,2.31296706199646,394163773.0173731,2.336199998855591,2.1617488861083984,2.185983896255493,yahoo_finance,5.79788174936382,7.766361476867223,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",87
1650412800000,2022-04-20,2022-04-20,2.328986883163452,451054430.8518498,2.408813953399658,2.2705399990081787,2.3128139972686768,yahoo_finance,0.6926091352621455,14.4332538221287,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",88
1650499200000,2022-04-21,2022-04-21,2.197601079940796,392282345.64981794,2.4032509326934814,2.191662073135376,2.3288350105285645,yahoo_finance,-5.641328603972018,-13.029931906673964,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",89
1650585600000,2022-04-22,2022-04-22,2.4901440143585205,1040518890.5560982,2.577392101287842,2.1938300132751465,2.1981630325317383,yahoo_finance,13.31192167168056,165.24744284183188,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",90
1650672000000,2022-04-23,2022-04-23,2.6747350692749023,1089359326.5850868,2.7254419326782227,2.468626022338867,2.4896020889282227,yahoo_finance,7.412866639519788,4.693853852368424,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",91
1650758400000,2022-04-24,2022-04-24,2.692363977432251,820674557.3535819,2.7487380504608154,2.6104071140289307,2.673675060272217,yahoo_finance,0.6590898799606171,-24.664475960725962,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",92
1650844800000,2022-04-25,2022-04-25,2.742037057876587,810030996.8381076,2.760488986968994,2.495932102203369,2.6943418979644775,yahoo_finance,1.8449615602014413,-1.29692829150162,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",93
1650931200000,2022-04-26,2022-04-26,2.3675050735473633,541781911.2899723,2.7621099948883057,2.363524913787842,2.742003917694092,yahoo_finance,-13.658895792577596,-33.115903785808754,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",94
1651017600000,2022-04-27,2022-04-27,2.4872798919677734,473769893.0449734,2.533289909362793,2.3663759231567383,2.368349075317383,yahoo_finance,5.059115596358366,-12.553394055379885,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",95
1651104000000,2022-04-28,2022-04-28,2.398703098297119,459892366.17242575,2.5298280715942383,2.3831429481506348,2.4872419834136963,yahoo_finance,-3.5611912417535807,-2.929170273643855,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",96
1651190400000,2022-04-29,2022-04-29,2.233778953552246,359658088.88071346,2.423661947250366,2.213387966156006,2.398345947265625,yahoo_finance,-6.8755547471446405,-21.795160055805717,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",97
1651276800000,2022-04-30,2022-04-30,2.002880096435547,298438145.32645035,2.2451701164245605,1.9985179901123047,2.2329249382019043,yahoo_finance,-10.336692301156948,-17.021706294660234,0xeb4d67f48319b2ee6e2dde7ce8fd69932979dc1ccf654734d3a2cbca60ca86cd,curve.eth,Can CRV do currency and foreign exchange transactions? Is it possible to introduce derivatives like foreign exchange into the bl,2022-01-21 10:18:33,2022-01-31 10:18:33,0.15,"['sentiment_analysis', 'structural_analysis', 'title_analysis']",98
