timestamp,datetime,date,price_usd,volume_usd,high_usd,low_usd,open_usd,source,price_change_pct,volume_change_pct,proposal_id,dao,proposal_title,proposal_start,proposal_end,activist_score,detection_methods,days_from_proposal
1636416000000,2021-11-09,2021-11-09,43.658538818359375,28920251912.34839,57.43016815185547,22.91980743408203,33.66478729248047,yahoo_finance,,,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-63
1636502400000,2021-11-10,2021-11-10,73.99401092529297,113067363068.45421,84.77949523925781,39.914222717285156,43.38677978515625,yahoo_finance,69.4834800430308,290.9625801709446,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-62
1636588800000,2021-11-11,2021-11-11,55.44757843017578,42701300522.84813,85.68744659423828,55.11703109741211,74.6866226196289,yahoo_finance,-25.06477519355227,-62.23375219514446,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-61
1636675200000,2021-11-12,2021-11-12,54.730072021484375,20099600834.236298,64.77420043945312,51.546775817871094,55.41144943237305,yahoo_finance,-1.2940265905299175,-52.9297689107112,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-60
1636761600000,2021-11-13,2021-11-13,55.55010223388672,15228416535.084846,63.041934967041016,48.352638244628906,54.64847183227539,yahoo_finance,1.498317437039809,-24.23522904422164,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-59
1636848000000,2021-11-14,2021-11-14,56.06539535522461,12216033769.535465,62.33518981933594,53.3520622253418,55.6154670715332,yahoo_finance,0.9276186732624092,-19.78132630276519,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-58
1636934400000,2021-11-15,2021-11-15,55.96575164794922,15609041999.976746,59.990135192871094,50.1574592590332,56.21254348754883,yahoo_finance,-0.1777276458037269,27.775039709719994,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-57
1637020800000,2021-11-16,2021-11-16,48.3400993347168,13533127678.105106,55.87342071533203,48.086334228515625,55.87342071533203,yahoo_finance,-13.625569368211732,-13.299434532079113,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-56
1637107200000,2021-11-17,2021-11-17,48.100341796875,9917744539.63623,54.279842376708984,45.753910064697266,48.24492645263672,yahoo_finance,-0.49598064782959694,-26.715059699895615,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-55
1637193600000,2021-11-18,2021-11-18,41.30226516723633,8855253892.901184,50.96298599243164,40.22454071044922,48.17229461669922,yahoo_finance,-14.133115016825792,-10.713026963830396,0xaf4b603825288bd4a6aa3c4d4e3949334064e0ae4f7baa9f7068daf293d91f57,ens.eth,Q1/Q2 2022 Community Steward Election,2022-01-10 03:53:50,2022-01-20 03:53:50,0.28,"['pattern_matching_community_initiative', 'sentiment_analysis']",-54
